,Address,County,Municipality,Name of Organization,Public OR Patients Only,Questionable,Scheduling Information,Vaccinates 12+ or 18+,lon,lat
196,"50 E Main St, Harrington, ME 04643, United States",Washington,Harrington,Harrington Family Health Center,Patient Only,yes,By appointment only. Patients will be notified of eligibility to receive the vaccine.,N/A,-67.80638122558594,44.61983108520508
197,"50 Pigeon Hill Rd, Mechanic Falls, ME 04256, United States",Androscoggin,Mechanic Falls,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",12+,-70.41545104980469,44.07818603515625
198,"50 Summer St., Millinocket, ME 04462",Penobscot,Millinocket,KVHC-Millinocket,Patient Only,No,"Patients may visit www.kvhc.org or 1-866-366-5842, Ext. 155 to register.",N/A,-68.70840454101562,45.65563201904297
199,"50 Union St, Ellsworth, ME 04605, United States",Hancock,Ellsworth,Northern Light Maine Coast Hospital,Public,No,Appointment needed. Schedule at COVID-19 Vaccinations - Northern Light Health.,12+,-68.41622924804688,44.54648971557617
200,"500 Gallery Blvd, Scarborough, ME 04074, United States",Cumberland,Scarborough,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",N/A,-70.34345245361328,43.62232208251953
201,"500 Stillwater Ave, Old Town, ME 04468, United States",Penobscot,Old Town,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-68.66624450683594,44.92720413208008
202,"506 Somerset Ave, Pittsfield, ME 04967, United States",Somerset,Pittsfield,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-69.40101623535156,44.784786224365234
203,"520 Waldo St, Rumford, ME 04276, United States",Oxford,Rumford,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-70.55023193359375,44.5551872253418
204,"53 Paris St, Norway, ME 04268, United States",Oxford,Norway,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.5296401977539,44.21199035644531
205,"532 Main St, Saco, ME 04072, United States",York,Saco,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",12+,-70.43539428710938,43.51163864135742
206,"55 Thomaston Commons Way, Thomaston, ME 04861, United States",Knox,Thomaston,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",N/A,-69.13800811767578,44.09154510498047
207,"550 Center St, Auburn, ME 04210",Androscoggin,Auburn,Central Maine Health Care/Auburn Mall,Public,No,"The Auburn Mall clinic is open Tuesday-Friday from 8am-5pm. Booster doese of Pfizer are also available here. 
 
Appointments may be scheduled but walk-ins are also available to all age groups approved for the vaccine. Call 207-520-2917 or visit https://www.cmhc.org/get-covid-vaccine/.
 
Walk-in appointments are available for all eligible age groups.",12+,-70.22898864746094,44.122047424316406
208,"566 Union St, Bangor, ME 04401, United States",Penobscot,Bangor,Walgreens,N/A,N/A,"566 Union St. To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-68.79106903076172,44.80735778808594
209,"57 Birch Street, Lewiston, ME 04240 ",Androscoggin,Lewiston,B Street Clinic,Public,No,"Now vaccinating all eligible persons ages 12 and older. For more information, please visit our website.
 
We currently schedule vaccine appointments on Saturdays and some Sundays. Walk-ins are welcome during any of our first dose clinics. Please check our Facebook Page for updates on walk-in hours of availability.",12+,-70.21134948730469,44.09272766113281
210,"57 Water St, Blue Hill, ME 04614, United States",Hancock,Blue Hill,Northern Light Blue Hill Hospital,Public,No,Appointment needed. Schedule at COVID-19 Vaccinations - Northern Light Health.,12+,-68.58739471435547,44.41160202026367
211,"575 Lisbon St, Lisbon Falls, ME 04252, United States",Androscoggin,Lisbon Falls,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.06346130371094,44.00107955932617
212,"59 Bangor St., Houlton, ME 04730",Aroostook,Houlton,KVHC-Houlton,Patient Only,No,"Patients may visit www.kvhc.org or 1-866-366-5842, Ext. 155 to register.",N/A,-67.84656524658203,46.123016357421875
213,"6 Glen Cove Drive, Rockport, ME 04843",Knox,Rockport,MaineHealth Vaccine Clinic,Public,No,"Call 877-780-7545, or visit https://vaccine.mainehealth.org/",N/A,-69.0848388671875,44.144287109375
214,"6 St. Andrews Lane, Boothbay Harbor, ME 04538, 207-633-2121",Lincoln,Boothbay,MaineHealth Vaccine Clinic,Public,Yes,"Call 877-780-7545, or visit https://vaccine.mainehealth.org/. Drop-in appointments are also available at this location.",N/A,-69.63966369628906,43.850425720214844
215,"60 Pierce Drive, Augusta, ME  04330 ",Kennebec,Augusta,Augusta Fire Department - Cony High School,Public,Yes,To make an appointment call 207-620-8164. For more information visit the Augusta website or visit the Fire Department’s Facebook page. Do not call Cony High School to make an appointment.,N/A,-69.74864959716797,44.31491470336914
216,"60 fairgrounds Market Pl, Skowhegan, ME 04976, United States",Somerset,Skowhegan,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",N/A,-69.7311019897461,44.780399322509766
217,"600 Center St, Auburn, ME 04210, United States",Androscoggin,Auburn,Shaws,N/A,N/A,"To schedule an appointment, please visit www.shaws.com/COVID-19. The website includes a link to the pharmacy’s convenient online vaccine scheduler and answers to FAQs. Please do not call the Pharmacy to schedule an appointment and walk-ins are not accepted.",12+,-70.22710418701172,44.123634338378906
218,"600 US-1, Scarborough, ME 04074, United States",Cumberland,Scarborough,Walgreens,N/A,N/A,"600 U.S. Route 1. To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.38674926757812,43.57109451293945
219,"61 Union St, Auburn, ME 04210, United States",Androscoggin,Auburn,Walgreens,N/A,N/A,"61 Union Street. To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.22895812988281,44.100242614746094
220,"615 Wilton Rd, Farmington, ME 04938, United States",Franklin,Farmington,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",N/A,-70.15882110595703,44.63054275512695
221,"616 Forest Ave, Portland, ME 04101, United States",Cumberland,Portland,Walgreens,N/A,N/A,"616 Forest Ave. To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.26811981201172,43.65997314453125
222,"62 W Gray Rd, Gray, ME 04039, United States",Cumberland,Gray,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.34175109863281,43.88295364379883
223,"65 Portland Rd Suite 9, Kennebunk, ME 04043, United States",York,Kennebunk,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-70.52899932861328,43.39803695678711
224,"65 Western Ave, Hampden, ME 04444, United States",Penobscot,Hampden,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-68.8441390991211,44.74432373046875
225,"66 Western Ave, Fairfield, ME 04937, United States",Somerset,Fairfield,Fairfield Pharmacy,N/A,N/A,To schedule an appointment please call our pharmacy at 207-453-4411. Information will also be posted on our website,N/A,-69.60749053955078,44.592830657958984
226,"665 Roosevelt Trail, Naples, ME 04055, United States",Cumberland,Naples,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.59368896484375,43.970191955566406
227,"692 Sabattus St, Lewiston, ME 04240, United States",Androscoggin,Lewiston,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",12+,-70.178955078125,44.103965759277344
228,"698 Minot Ave, Auburn, ME 04210, United States",Androscoggin,Auburn,Walgreens,N/A,N/A,"698 Minot Ave. To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.25566101074219,44.08155822753906
229,"7 Hannaford Dr, Westbrook, ME 04092, United States",Cumberland,Westbrook,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-70.3550796508789,43.67600631713867
230,"7 Portland St, Rumford, ME 04276, United States",Oxford,Rumford,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.54608154296875,44.547855377197266
231,"7 Transalpine Rd, Lincoln, ME 04457, United States",Penobscot,Lincoln,Penobscot Valley Hospital,Public,Yes,Register by visiting www.pvhme.org or call 207-794-7243.,N/A,-68.51754760742188,45.34756851196289
232,"70 Main St, Porter, ME 04068, United States",Oxford,Porter,Sacopee Valley Health Center,Patient Only,Yes,Patients may call 207-625-8126 to be added to the wait list.,N/A,-70.88572692871094,43.81056213378906
233,"706 Broadway, Bangor, ME 04401, United States",Penobscot,Bangor,Walgreens,N/A,N/A,"706 Broadway. To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-68.7813491821289,44.82429885864258
234,"71 Colonial Dr, Standish, ME 04084, United States",Cumberland,Standish,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",12+,-70.544189453125,43.729515075683594
235,"711 Broadway Suite 1, Bangor, ME 04401, United States, ",Penobscot,Bangor,Bangor Drug,N/A,N/A,Call 207-922-3849 to schedule an appointment,N/A,-68.7799301147461,44.82538604736328
236,"713 Congress St, Portland, ME 04102, United States",Cumberland,Portland,Walgreens,N/A,N/A,"713 Congress Street. To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.3077392578125,43.659976959228516
237,"74 Access Highway, Caribou, ME 04736",Aroostook,Caribou,Caribou Health Center,Patient Only,Yes,Information on vaccination clinics provided by Pines Health Services is available by calling 207-498-1638 or visiting www.pineshealth.org/.,N/A,-67.9925537109375,46.873992919921875
238,"741 Roosevelt Trail, Windham, ME 04062, United States",Cumberland,Windham,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.43714141845703,43.833866119384766
239,"75 Main St, Bucksport, ME 04416, United States",Hancock,Bucksport,"Community Pharmacy, Bucksport",N/A,N/A,To schedule an appointment visit communityrx.com/covid-19/ and select your location of choice.,N/A,-68.79444122314453,44.572086334228516
240,"75 Maverick St, Rockland, ME 04841, United States",Knox,Rockland,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-69.10557556152344,44.117591857910156
241,"77 Mallett Dr, Topsham, ME 04086, United States",Sagadahoc,Topsham,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-69.97315979003906,43.93797302246094
242,"781 Main St, Presque Isle, ME 04769, United States",Aroostook,Presque Isle,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",N/A,-68.01448822021484,46.697452545166016
243,"787 Riverside St, Portland, ME 04103, United States",Cumberland,Portland,Hannaford,N/A,N/A,"Riverside St. Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability..",N/A,-70.3194580078125,43.70176696777344
244,"797 Roosevelt Trail, Windham, ME 04062, United States, ",Cumberland,Windham,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",12+,-70.44097137451172,43.839820861816406
245,"8 Main St, Madison, ME 04950, United States",Somerset,Madison,HealthReach Community Health Centers dba Madison Area Health Center,Patient Only,Yes,Patients may call 696-3992 to schedule an appointment.,N/A,-69.87638854980469,44.797950744628906
246,"8 Pikes Hill, Norway, ME 04268",Oxford,Norway,MaineHealth Vaccine Clinic,Public,No,"Call 877-780-7545, or visit https://vaccine.mainehealth.org/. Drop-in appointments are also available this location.",N/A,-70.54340362548828,44.212528228759766
247,"80 Waterville Commons Drive, Waterville, ME 04901, United States",Kennebec,Waterville,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",12+,-69.64244079589844,44.56995391845703
248,"839 Commercial St, Rockport, ME 04856, United States",Knox,Rockport,Kennebec Pharmacy and Home Care,N/A,N/A,Schedule online,N/A,-69.08897399902344,44.14656448364258
249,"84 E Main St, Fort Kent, ME 04743, United States",Aroostook,Fort Kent,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-68.5900650024414,47.25756072998047
250,"868 Main St, Sanford, ME 04073, United States",York,Sanford,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-70.77776336669922,43.44186019897461
251,"897 W Main St, Dover-Foxcroft, ME 04426, United States",Piscataquis,Dover-Foxcroft,Northern Light Mayo Hospital,Public,No,Appointment needed. Schedule at COVID-19 Vaccinations - Northern Light Health.,12+,-69.23731994628906,45.187686920166016
252,"9 Pleasant St, Oakland, ME 04963, United States",Kennebec,Oakland,Oakland Family Medicine,Public,No,Call 207-465-4000 to schedule an appointment. Appointments to non-patients available.,18+,-69.71350860595703,44.54854202270508
253,"9 Spring St, Gardiner, ME 04345, United States",Kennebec,Gardiner,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-69.7732925415039,44.23335647583008
254,"900 Stillwater Ave, Bangor, ME 04401, United States",Penobscot,Bangor,Walmart,N/A,N/A,"To see availability and schedule an appointment, visit: www.walmart.com/COVIDvaccine. Please check your eligibility before scheduling an appointment. Drop-in vaccinations are also available.",12+,-68.74940490722656,44.84014892578125
255,"91 Auburn St, Portland, ME 04103, United States",Cumberland,Portland,Shaws,N/A,N/A,"To schedule an appointment, please visit www.shaws.com/COVID-19. The website includes a link to the pharmacy’s convenient online vaccine scheduler and answers to FAQs. Please do not call the Pharmacy to schedule an appointment and walk-ins are not accepted.",12+,-70.28843688964844,43.703369140625
256,"91 Campus Ave, Lewiston, ME 04240, United States",Androscoggin,Lewiston,St. Mary's Regional Medical Center,Public,No,Visit www.stmarysmaine.com for information or call 207-755-3100.,N/A,-70.19996643066406,44.101741790771484
257,"93 Lincolnville Ave, Belfast, ME 04915, United States",Waldo,Belfast,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",N/A,-69.01822662353516,44.42042541503906
258,"943 Western Ave, Manchester, ME 04351, United State",Kennebec,Manchester,Walgreens,N/A,N/A,"To schedule an appointment, visit Walgreens.com/ScheduleVaccine or call 1-800-Walgreens. Walk-ins are not accepted.",12+,-69.86328125,44.32500076293945
259,"95 Spring St, Auburn, ME 04210, United States",Androscoggin,Auburn,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",12+,-70.23007202148438,44.09615707397461
260,"99 Main St, Gorham, ME 04038, United States, ",Cumberland,Gorham,Hannaford,N/A,N/A,"Hannaford Pharmacies are now accepting walk-in customers for the COVID-19 vaccine, as well as scheduled appointments. Walk-in vaccines are subject to vaccine availability at each location. Visit https://www.hannaford.com/pharmacy/covid-19-vaccine for more information. If the online scheduler does not have an appointment available, please do not call the pharmacy. The scheduler updates in real time and accurately reflects appointment availability.",12+,-70.43829345703125,43.67959976196289
261,"Ballard Center, 6 E Chestnut St, Augusta, ME 04330, United States",Kennebec,Augusta,Kennebec Pediatrics,Public,No,Patients of Winthrop Pediatric & Adolescent Medicine will receive vaccinations at Kennebec Pediatrics. Call 207-623-2977 to schedule an appointment. Appointments available to non-patients.,12+,-69.76904296875,44.313175201416016
262,"Martin's Point TrailPortland, ME 04103, USA",Cumberland,Portland,Martin’s Point,Public,No,By appointment only. Call (207) 828-7814 or visit https://martinspoint.org/covid19/covid-vaccine to sign up for the waitlist.,N/A,-70.24616241455078,43.68778991699219
263,N/A,Kennebec,Augusta,Family Medicine Institute,Public,No,Call 207-626-1561 to schedule an appointment. Open to non-patients.,18+,-69.76757049560547,44.31364440917969
264,N/A,Kennebec,Belgrade,HealthReach Community Health Centers dba Belgrade Regional Health Center,Patient Only,N/A,Patients may call 495-3323 to schedule an appointment.,N/A,-69.86636352539062,44.50423049926758
265,N/A,Cumberland,Brunswick,MaineHealth Vaccine Clinic,Public,Yes,"Call 877-780-7545, or visit https://vaccine.mainehealth.org/. Drop-in appointments are also available at this location.",12+,-69.92704772949219,43.89373016357422
266,N/A,Knox,Rockland,MaineHealth Vaccine Clinic,Public,Yes,"Call 877-780-7545, or visit https://vaccine.mainehealth.org/. Drop-in appointments are also available at this location.",N/A,-69.1250991821289,44.11915588378906
267,N/A,Somerset,Bingham,Redington Fairview Hospital EMS - Quimby Elementary School,Public,Yes,To make an appointment visit the Redington – Fairview General Hospital website,N/A,-69.71309661865234,44.75918197631836
268,N/A,Androscoggin,Lewiston,United Ambulance Service,Public,Yes,"To schedule an appointment, visit: Covidvaccine@unitedambulance.net",N/A,-70.1930160522461,44.1042366027832
269,N/A,York,Cornish,"Community Pharmacy, Cornish",N/A,N/A,To schedule an appointment visit communityrx.com/covid-19/ and select your location of choice.,N/A,-70.8222885131836,43.8028564453125
270,N/A,Cumberland,Cumberland,Cumberland County Fair/Maine CDC Public Health Nursing,Public,N/A,"September 30, 9am-3pm.197 Blanchard Road in Cumberland. 
J&J vaccinations offered to anyone 18 and older; free entry granted to anyone who gets vaccinated that day.
Walk-ins welcome, no appointment needed.",18+,-70.2897720336914,43.809295654296875
271,N/A,Oxford,Fryeburg,Fryeburg Fair/Fryeburg EMS/Maine Responds/Maine Public Health Nursing,Public,N/A,"October 6 & 8, 10am-4pm at the Fryeburg Fair. Both the 2-dose Pfizer vaccine for those 12 and older and those looking for a Pfizer booster; the single-shot J&J vaccine for those 18 and older will be available. 
No appointment necessary.",12+,-70.96886444091797,44.03404998779297
272,N/A,York,Saco,York County Emergency Management/Thornton Academy,Private,N/A,"October 7, 10am-4pm at Thornton Academy at 438 Main St. Saco. Pfizer available to those 12+ and those looking for booster doses.",12+,-70.43917083740234,43.50601577758789
273,"Ripley Medical Building, 193 Main St, Norway, ME 04268, United States",Oxford,Norway,Western Maine Pediatrics,Public,Yes,"Pfizer vaccine will be available on Wednesday and Fridays from 9am-5pm at 193 Main Street in Norway.
 
Appointments can be pre-booked at vaccine.mainehealth.org, drop-ins are also welcome.",12+,-70.5323486328125,44.21118927001953
